gene1	gene2	annotation	direction	score	ann_class	shared_pathways	pathway_type	n_pathways_g1	n_pathways_g2	local_degree_g1	local_degree_g2	mean_local_degree	ratio_g1	ratio_g2	global_degree_g1	global_degree_g2	betweenness_g1	betweenness_g2	taxonomy_g1	taxonomy_g2	mean_global_degree	mean_betweenness
A1CF	EP300	expression regulated by	<-	1.0	expression	0	inter	2	143	2.0	58.664	30.332	0.0625	0.0414	32	1417	8.427127617973002e-06	0.0025418965963947184	background	structural_hub	724.5	0.0012751618620063458
AAAS	IPO8	catalyze	->	1.0	catalyze	0	inter	80	3	12.488	15.333	13.91	0.0748	0.0755	167	203	2.702864413375827e-05	8.83743615611054e-05	pathway_bridge	background	185.0	5.7701502847431834e-05
AAK1	WNK2	predicted	-	0.92	predicted	0	inter	4	3	22.75	4.0	13.375	0.2031	0.1143	112	35	7.158589412618847e-06	1.1149011933679034e-06	background	background	73.5	4.136745302993376e-06
AARS1	CEBPB	expression regulated by	<-	1.0	expression	0	inter	4	23	19.5	108.217	63.859	0.1161	0.0764	168	1416	2.3625034142703603e-05	0.0013666417008618365	background	structural_hub	792.0	0.0006951333675022701
AARS1	HSP90AA1	predicted	-	0.9	predicted	0	inter	4	104	19.5	54.731	37.115	0.1161	0.0428	168	1279	2.3625034142703603e-05	0.004143211621870098	background	structural_hub	723.5	0.0020834183280064008
AARS1	NSUN2	predicted	-	0.88	predicted	0	inter	4	3	19.5	16.0	17.75	0.1161	0.0541	168	296	2.3625034142703603e-05	3.891284920088351e-05	background	background	232.0	3.126894167179356e-05
AARS1	SOD1	predicted	-	0.88	predicted	0	inter	4	14	19.5	33.643	26.571	0.1161	0.0807	168	417	2.3625034142703603e-05	0.0005384500606390296	background	pathway_bridge	292.5	0.0002810375473908666
AARS1	TPD52	predicted	-	0.89	predicted	0	inter	4	4	19.5	7.0	13.25	0.1161	0.0642	168	109	2.3625034142703603e-05	2.3143327728516426e-05	background	background	138.5	2.3384180935610012e-05
AATF	BMS1	predicted	-	0.93	predicted	0	inter	5	5	14.8	38.6	26.7	0.0451	0.1664	328	232	9.44198494556121e-05	2.3391467591720846e-05	background	background	280.0	5.890565852366647e-05
AATF	BYSL	predicted	-	0.96	predicted	0	inter	5	4	14.8	59.0	36.9	0.0451	0.1653	328	357	9.44198494556121e-05	0.00017953134363335338	background	pathway_bridge	342.5	0.00013697559654448274
AATF	DCAF13	predicted	-	0.96	predicted	0	inter	5	8	14.8	37.875	26.338	0.0451	0.1683	328	225	9.44198494556121e-05	0.0002630856004147192	background	pathway_bridge	276.5	0.00017875272493516567
